query_id,precision,recall,f1,average_precision,ndcg,num_relevant,num_retrieved,num_relevant_retrieved
1,0.0400,0.8000,0.0762,0.1199,0.3661,5,100,4
10,0.1900,0.5429,0.2815,0.2024,0.4741,35,100,19
11,0.0900,0.4737,0.1513,0.3282,0.5581,19,100,9
12,0.0400,0.8000,0.0762,0.2994,0.5840,5,100,4
13,0.0600,0.5455,0.1081,0.1329,0.4035,11,100,6
14,0.1000,0.2273,0.1389,0.0699,0.2429,44,100,10
15,0.0400,0.4000,0.0727,0.0317,0.1860,10,100,4
16,0.0500,0.2941,0.0855,0.0535,0.2185,17,100,5
17,0.0400,0.2500,0.0690,0.0227,0.1409,16,100,4
18,0.0600,0.5455,0.1081,0.0871,0.3059,11,100,6
19,0.0800,0.7273,0.1441,0.3284,0.6090,11,100,8
2,0.0100,0.3333,0.0194,0.0046,0.0758,3,100,1
20,0.0200,0.6667,0.0388,0.1508,0.3236,3,100,2
21,0.0800,0.7273,0.1441,0.0796,0.3372,11,100,8
22,0.0700,0.4118,0.1197,0.1596,0.3691,17,100,7
23,0.0300,0.7500,0.0577,0.0975,0.3200,4,100,3
24,0.0300,0.2308,0.0531,0.0450,0.1817,13,100,3
25,0.2200,0.4314,0.2914,0.1701,0.4217,51,100,22
26,0.1300,0.4333,0.2000,0.1380,0.4069,30,100,13
27,0.1400,0.4828,0.2171,0.2651,0.5272,29,100,14
28,0.0400,0.8000,0.0762,0.8000,0.8688,5,100,4
29,0.0900,0.4737,0.1513,0.1106,0.3534,19,100,9
3,0.0300,0.5000,0.0566,0.0361,0.1997,6,100,3
30,0.0300,0.7500,0.0577,0.1421,0.3507,4,100,3
31,0.0200,1.0000,0.0392,0.5294,0.7327,2,100,2
32,0.0200,0.6667,0.0388,0.5000,0.6714,3,100,2
33,0.0000,0.0000,0.0000,0.0000,0.0000,1,100,0
36,0.0800,0.4000,0.1333,0.0548,0.2551,20,100,8
37,0.0300,0.2500,0.0536,0.0927,0.2681,12,100,3
38,0.0900,0.5625,0.1552,0.1710,0.4158,16,100,9
39,0.0800,0.6667,0.1429,0.1762,0.4554,12,100,8
4,0.0300,0.2500,0.0536,0.0149,0.1227,12,100,3
40,0.0600,0.6000,0.1091,0.0840,0.3078,10,100,6
42,0.0800,0.3810,0.1322,0.0959,0.2861,21,100,8
43,0.0600,0.1463,0.0851,0.0084,0.0924,41,100,6
44,0.0700,0.4118,0.1197,0.1324,0.3843,17,100,7
45,0.1400,0.5385,0.2222,0.1462,0.4093,26,100,14
48,0.0000,0.0000,0.0000,0.0000,0.0000,12,100,0
49,0.0500,0.6250,0.0926,0.0717,0.2851,8,100,5
5,0.0300,0.3750,0.0556,0.1545,0.3655,8,100,3
57,0.0100,1.0000,0.0198,1.0000,1.0000,1,100,1
58,0.0500,0.1667,0.0769,0.0116,0.1046,30,100,5
59,0.1800,0.4186,0.2517,0.1439,0.3637,43,100,18
6,0.0300,1.0000,0.0583,0.2292,0.4933,3,100,3
60,0.1100,0.4074,0.1732,0.0642,0.2765,27,100,11
61,0.1500,0.4839,0.2290,0.2582,0.5247,31,100,15
62,0.0700,0.8750,0.1296,0.1126,0.3982,8,100,7
63,0.0900,0.7500,0.1607,0.2072,0.5019,12,100,9
7,0.0900,0.3214,0.1406,0.0702,0.2531,28,100,9
8,0.0300,1.0000,0.0583,0.4000,0.6717,3,100,3
9,0.0700,0.7778,0.1284,0.2191,0.4764,9,100,7
AGGREGATE,0.0673,0.5230,0.1109,0.1730,0.3714,,,
